2000, 84299165.10636678, 118205604.83513485, 67382334.73954132, 36928071.52280505, 80718418.91746347, 110283468.35619901
4000, 58370589.562274374, 107019206.49869595, 47467570.09858773, 36928071.52280505, 61486603.697047204, 31952638.836549584
6000, 31836449.17215072, 40429446.99256878, 35355943.96566165, 35176689.770434625, 36544571.77809676, 31952638.836549584
8000, 31836449.17215072, 40429446.99256878, 35355943.96566165, 35176689.770434625, 36544571.77809676, 31952638.836549584
10000, 31836449.17215072, 29872846.79436024, 35355943.96566165, 31464491.75983759, 25945687.505316358, 31952638.836549584
12000, 29282186.412869543, 29872846.79436024, 26150161.309500378, 28533951.661890864, 25945687.505316358, 31952638.836549584
14000, 29282186.412869543, 29872846.79436024, 11395299.173938485, 23654242.469264407, 8662787.515847407, 24017081.975177873
16000, 14733035.927798787, 29872846.79436024, 11395299.173938485, 23654242.469264407, 8662787.515847407, 24017081.975177873
18000, 14733035.927798787, 29872846.79436024, 11395299.173938485, 17238766.83676208, 8662787.515847407, 18215364.34833079
20000, 11831815.624660384, 29872846.79436024, 11232236.123879772, 17238766.83676208, 8662787.515847407, 14976779.656883735
22000, 10010705.06775172, 24969769.05281534, 8591862.33249264, 8530805.982866386, 8404887.47964011, 13398680.062517894
24000, 9362527.371667163, 9814661.913217504, 8591862.33249264, 8530805.982866386, 5618422.781121385, 13398680.062517894
26000, 9362527.371667163, 9814661.913217504, 8591862.33249264, 8530805.982866386, 3721109.392869141, 13398680.062517894
28000, 8108308.124228986, 5964387.736622067, 8591862.33249264, 8530805.982866386, 3721109.392869141, 13398680.062517894
30000, 3757954.9711231673, 5964387.736622067, 7121728.921989552, 8530805.982866386, 2720658.9991760096, 10084871.991941392
32000, 3372426.5960883405, 5964387.736622067, 7121728.921989552, 8049152.640576126, 2014029.8546965523, 6818393.730838128
34000, 1843341.3937265775, 5964387.736622067, 5096685.449041476, 7285944.834205531, 1626045.4251605817, 6818393.730838128
36000, 1257302.57267845, 5964387.736622067, 2146296.051580542, 7285944.834205531, 1304308.0267159839, 6818393.730838128
38000, 1257302.57267845, 5964387.736622067, 2146296.051580542, 6911202.673058801, 1060781.81284997, 4392071.737224902
40000, 919519.7307572233, 5964387.736622067, 1716179.3469857126, 5201245.3011081405, 747253.5130149999, 3915603.8727840804
42000, 590977.5077356525, 4510706.144149058, 1140690.8718075494, 5201245.3011081405, 639142.9849529106, 3337220.7442334522
44000, 440193.43737255957, 4217704.812382655, 721193.0782322835, 3314578.2931767832, 495878.89366382285, 1159577.1885490858
46000, 409114.1902181042, 2991546.0701267906, 386035.3995337522, 3196692.758853135, 344479.77289013506, 1159577.1885490858
48000, 409114.1902181042, 1359188.12731234, 291265.5882298844, 2235431.7076715273, 344479.77289013506, 793879.5822578568
50000, 268047.7283195958, 820990.890379619, 195086.97926950082, 2235431.7076715273, 247506.09195765003, 469640.60198431235
52000, 214810.86609722377, 820990.890379619, 186599.48271600652, 1318549.6373780782, 202555.10143964813, 307240.4897970617
54000, 168135.85322660572, 635105.5985176614, 158061.0108847243, 977560.102678856, 193575.66570187418, 147896.182253579
56000, 127345.98990780317, 499271.29303489235, 96544.4501925962, 526067.9076904883, 172934.41223751986, 98575.0565825194
58000, 121574.47146844449, 385266.1172696255, 73134.23885543231, 414044.388887156, 142931.6483706841, 98575.0565825194
60000, 72236.9210655276, 209618.22101967735, 57859.989270966675, 270440.9630792677, 123469.0288445546, 74483.32062250984
62000, 69312.3105287101, 157637.38306323724, 50198.53695704719, 270440.9630792677, 116105.50053695735, 74483.32062250984
64000, 60623.85093471529, 115174.49745319702, 42796.781248185696, 155223.9393337005, 98376.32081002272, 52627.92665964946
66000, 53388.77123226235, 98437.94720356935, 34641.617288879526, 131259.21201238208, 75839.46718600717, 39741.7205233983
68000, 34580.94125313622, 55276.985388182184, 31775.30650450571, 100868.91211531684, 51858.00359368329, 39061.430032819546
70000, 34580.94125313622, 55276.985388182184, 27143.573425756167, 94328.9171876992, 43533.58620311901, 27198.997324581436
72000, 32552.51542773729, 38414.727294970726, 27143.573425756167, 85467.45133845843, 38483.68939907199, 22544.786000378983
74000, 32552.51542773729, 36192.68785774994, 27143.573425756167, 73296.98779238344, 34675.60201021684, 20540.08889628567
76000, 29686.044243817043, 35855.550590624865, 25465.257749262266, 65741.52023468289, 30219.751498107038, 18382.341194908833
78000, 29487.25356465703, 29916.43065777221, 23581.01442597014, 55937.7887042951, 28464.057587095653, 17154.453963224238
80000, 29267.409648057266, 26575.20571735051, 22164.977971198976, 43350.29321927371, 25937.28468818733, 16583.958441464732
82000, 28493.040750708853, 23976.98056641518, 20230.947941441584, 38301.66066932946, 23469.970984351392, 15296.505395592752
84000, 28164.407055527405, 23078.629605690017, 18578.27534475964, 37328.61974332072, 20194.767834733077, 15096.892929938971
86000, 27773.14346130928, 22438.004941162253, 17082.49678246535, 34570.76560747503, 18473.69456686565, 13669.890514076182
88000, 27211.282501400805, 18584.283594154665, 15178.565801728535, 32853.682202348835, 16195.657849598194, 13348.650027774309
90000, 26973.87750956406, 16654.18712182247, 14795.71776457984, 30037.812187261334, 14781.541733970496, 12857.444933905419
92000, 26143.25725140123, 15186.57730909554, 13431.702162847752, 28906.80503885436, 14051.409193126663, 12410.364678684207
94000, 25182.65348374217, 14929.978072413405, 12596.932478594015, 25816.3648096194, 13242.846922206354, 12254.078376898751
96000, 24458.313566518824, 14282.853781375481, 12402.324277180232, 19874.010251898308, 12962.35899564374, 11738.160691468222
